"id","code_prefix_start","parent_id/id","name","chart_template_id/id"
"hr_group_0","0",,"POTRAŽIVANJA ZA UPISANI KAPITAL I DUGOTRAJNA IMOVINA","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_00","00","hr_group_0","POTRAŽIVANJA ZA UPISANI A NEUPLAĆENI KAPITAL","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_000","000","hr_group_00","Potraživanja za upisani a neuplaćeni dionički kapital (analitika po upisnicima)","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_001","001","hr_group_00","Potraživanja iz ponovljene emisije dionica za upisane a neuplaćene svote kapitala (razrada po emisijama dionica)","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_002","002","hr_group_00","Potraživanja za upisani a neuplaćeni kapital u d.o.o. (analitika po članovima društva)","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_003","003","hr_group_00","Potraživanja za temeljni ulog komanditora","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_004","004","hr_group_00","Potraživanje za ostale uloge u kapital","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_01","01","hr_group_0","NEMATERIJALNA IMOVINA","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_010","010","hr_group_01","Izdatci za razvoj","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_011","011","hr_group_01","Koncesije, patenti, licencije, robne i uslužne marke","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_012","012","hr_group_01","Softver i ostala prava","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_013","013","hr_group_01","Goodwill","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_014","014","hr_group_01","Ostala nematerijalna imovina","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_015","015","hr_group_01","Predujmovi za nabavu nematerijalne imovine","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_016","016","hr_group_01","Kriptovalute","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_017","017","hr_group_01","Nematerijalna imovina u pripremi (analitika prema vrsti računa skupine 01)","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_018","018","hr_group_01","Vrijednosno usklađenje nematerijalne imovine (analitika prema vrsti računa skupine 01)","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_019","019","hr_group_01","Akumulirana amortizacija nematerijalne imovine","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_02","02","hr_group_0","MATERIJALNA IMOVINA - NEKRETNINE","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_020","020","hr_group_02","Zemljišta","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_021","021","hr_group_02","Zemljišna prava (višegodišnja)","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_023","023","hr_group_02","Građevinski objekti (za vlastite potrebe)","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_024","024","hr_group_02","Stanovi za vlastite zaposlenike","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_026","026","hr_group_02","Predujmovi za nabavu nekretnina","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_027","027","hr_group_02","Nekretnine u pripremi","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_028","028","hr_group_02","Vrijednosno usklađenje nekretnina","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_029","029","hr_group_02","Akumulirana amortizacija građevina","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_03","03","hr_group_0","POSTROJENJA, OPREMA, ALATI, INVENTAR I TRANSPORTNA SREDSTVA","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_030","030","hr_group_03","Postrojenja","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_031","031","hr_group_03","Oprema","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_032","032","hr_group_03","Alati, pogonski inventar i transportna imovina","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_033","033","hr_group_03","Pretporez koji se ne može odbiti (kao dio vrijednosti osobnih automobila za nabave od 1.1. 2018.)","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_034","034","hr_group_03","Poljoprivredna oprema i mehanizacija","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_035","035","hr_group_03","Ostala materijalna imovina","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_036","036","hr_group_03","Predujmovi za materijalnu imovinu","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_037","037","hr_group_03","Materijalna imovina u pripremi","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_038","038","hr_group_03","Vrijednosno usklađenje postrojenja i opreme","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_039","039","hr_group_03","Akumulirana amortizacija postrojenja i opreme","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_04","04","hr_group_0","BIOLOŠKA IMOVINA","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_040","040","hr_group_04","Biološka imovina - bilje - višegodišnji nasadi","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_041","041","hr_group_04","Biološka imovina - životinje - osnovno stado","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_046","046","hr_group_04","Predujmovi za biološku imovinu","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_047","047","hr_group_04","Biološka imovina u pripremi","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_048","048","hr_group_04","Vrijednosno usklađenje biološke imovine","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_049","049","hr_group_04","Akumulirana amortizacija biološke imovine","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_05","05","hr_group_0","ULAGANJA U NEKRETNINE","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_050","050","hr_group_05","Ulaganja u nekretnine - zemljišta","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_051","051","hr_group_05","Ulaganja u nekretnine - građevine","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_056","056","hr_group_05","Predujmovi za ulaganja u nekretnine","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_057","057","hr_group_05","Ulaganja u nekretnine u pripremi","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_058","058","hr_group_05","Vrijednosno usklađenje ulaganja u nekretnine","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_059","059","hr_group_05","Akumulirana amortizacija ulaganja u građevine","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_06","06","hr_group_0","DUGOTRAJNA FINANCIJSKA IMOVINA (s povratom dužim od jedne godine)","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_060","060","hr_group_06","Ulaganja u udjele (dionice) i ostale vrijednosne papire poduzetnika unutar grupe","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_061","061","hr_group_06","Dani zajmovi, depoziti i slično poduzetnicima unutar grupe","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_062","062","hr_group_06","Ulaganja u udjele (dionice) i ostale vrijednosne papire društava povezanih sudjelujućim interesom","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_063","063","hr_group_06","Dani zajmovi, depoziti i slično društvima povezanim sudjelujućim interesom","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_064","064","hr_group_06","Ulaganja u vrijednosne papire (dugotrajne)","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_065","065","hr_group_06","Dani zajmovi, depoziti i sl.","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_066","066","hr_group_06","Ulaganja koja se obračunavaju metodom udjela","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_067","067","hr_group_06","Ostala dugotrajna financijska imovina","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_068","068","hr_group_06","Vrijednosno usklađenje financijske imovine - dugotrajne (analitika prema oblicima imovine)","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_069","069","hr_group_06","Nezarađene kamate u kreditima i sl.","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_07","07","hr_group_0","POTRAŽIVANJA (dulja od jedne godine)","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_070","070","hr_group_07","Potraživanja od poduzetnika unutar grupe","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_071","071","hr_group_07","Potraživanja od društava povezanih sudjelujućim interesom","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_072","072","hr_group_07","Potraživanja od kupaca - dugotrajna","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_073","073","hr_group_07","Potraživanja iz faktoringa","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_074","074","hr_group_07","Potraživanja za jamčevine","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_075","075","hr_group_07","Potraživanja u sporu i rizična potraživanja","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_076","076","hr_group_07","Potraživanja za predujmove za usluge","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_077","077","hr_group_07","Ostala potraživanja - dugotrajna","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_078","078","hr_group_07","Vrijednosno usklađivanje dugotrajnih potraživanja","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_079","079","hr_group_07","Potraživanja za nezarađenu kamatu","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_08","08","hr_group_0","ODGOĐENA POREZNA IMOVINA","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_080","080","hr_group_08","Odgođena privremena razlika poreza na dobitak (analitika po godinama)","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_081","081","hr_group_08","Ostala odgođena porezna imovina","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_1","1",,"NOVAC, KRATKOTRAJNA FINANCIJSKA IMOVINA, KRATKOTRAJNA POTRAŽIVANJA, TROŠKOVI I PRIHOD BUDUĆEG RAZDOBLJA","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_10","10","hr_group_1","NOVAC U BANKAMA I BLAGAJNAMA","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_100","100","hr_group_10","Transakcijski računi u bankama","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_101","101","hr_group_10","Otvoreni akreditiv u domaćoj banci","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_102","102","hr_group_10","Blagajne","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_103","103","hr_group_10","Devizni računi","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_104","104","hr_group_10","Otvoreni akreditiv u stranim valutama","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_105","105","hr_group_10","Devizna blagajna","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_106","106","hr_group_10","Novac za kupnju deviza","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_108","108","hr_group_10","Ostala novčana sredstva","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_109","109","hr_group_10","Vrijednosno usklađenje depozita u bankama","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_11","11","hr_group_1","KRATKOTRAJNA FINANCIJSKA IMOVINA (do jedne godine)","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_110","110","hr_group_11","Ulaganja u udjele (dionice) i ostale vrijednosne papire poduzetnika unutar grupe","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_111","111","hr_group_11","Dani zajmovi, depoziti i slično poduzetnicima unutar grupe","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_112","112","hr_group_11","Ulaganja u udjele (dionice) i ostale vrijednosne papire društava povezanih sudjelujućim interesom","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_113","113","hr_group_11","Dani zajmovi, depoziti i slično društvima povezanim sudjelujućim interesom","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_114","114","hr_group_11","Ulaganja u vrijednosne papire","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_115","115","hr_group_11","Dani zajmovi, depoziti i sl.","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_116","116","hr_group_11","Potraživanja iz ulaganja u investicijske fondove","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_117","117","hr_group_11","Ostala financijska imovina","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_118","118","hr_group_11","Potraživanja u sporu (npr. utužena, u predstečaju ili u stečaju i sl. iz fin. imovine)","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_119","119","hr_group_11","Vrijednosno usklađivanje financijske imovine - kratkotrajne (analitika po otpisima iz ove skupine računa)","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_12","12","hr_group_1","POTRAŽIVANJA (kratkotrajna)","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_120","120","hr_group_12","Potraživanja od kupaca","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_121","121","hr_group_12","Kupci iz EU i iz trećih zemalja","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_122","122","hr_group_12","Potraživanja od poduzetnika unutar grupe","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_123","123","hr_group_12","Potraživanja od društava povezanih sudjelujućim interesom","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_124","124","hr_group_12","Potraživanja za kamate","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_125","125","hr_group_12","Potraživanja za predujmove za usluge (koje nisu u svezi sa zalihama i dugotr. imov.)","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_126","126","hr_group_12","Potraživanja iz vanjskotrgovačkog poslovanja (s osnove uvoza odnosno izvoza za tuđi račun)","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_127","127","hr_group_12","Potraživanja s osnove ostalih aktivnosti","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_128","128","hr_group_12","Ostala kratkoročna potraživanja","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_129","129","hr_group_12","Vrijednosno usklađenje potraživanja","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_13","13","hr_group_1","POTRAŽIVANJA OD ZAPOSLENIH I OSTALA POTRAŽIVANJA (kratkotrajna)","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_130","130","hr_group_13","Potraživanja od zaposlenih","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_131","131","hr_group_13","Potraživanja od vanjskih suradnika","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_133","133","hr_group_13","Potraživanja od članova poduzetnika","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_134","134","hr_group_13","Potraživanja u sporu i rizična potraživanja (iz skupine 12 i 13)","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_135","135","hr_group_13","Potraživanja za sredstva u slobodnoj zoni","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_136","136","hr_group_13","Potraživanja za prodaju na potrošački kredit","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_137","137","hr_group_13","Potraživanja od poslovnih jedinica u inozemstvu","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_138","138","hr_group_13","Ostala poslovna potraživanja","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_139","139","hr_group_13","Vrijednosno usklađenje potraživanja od zaposlenih, članova društva i ostalih potraživanja","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_14","14","hr_group_1","POTRAŽIVANJA OD DRŽAVE ZA POREZE, CARINU I DOPRINOSE","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_140","140","hr_group_14","Porez na dodanu vrijednost","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_141","141","hr_group_14","Potraživanja za porez i prirez na dohodak iz plaća i drugih primanja","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_142","142","hr_group_14","Potraživanja za više plaćene doprinose iz plaća i na plaće","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_143","143","hr_group_14","Potraživanja za porez na dobitak i po odbitku","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_144","144","hr_group_14","Potraživanja za posebne poreze, trošarine i druge poreze od države","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_145","145","hr_group_14","Potraživanja za plaćenu ili više plaćenu članarinu TZ","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_146","146","hr_group_14","Potraživanja za članarine komori (HGK ili HOK i dr.)","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_147","147","hr_group_14","Potraživanja za carinu i više plaćene carinske pristojbe","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_148","148","hr_group_14","Potraživanja za županijski i općinski (gradski) porez","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_149","149","hr_group_14","Potraživanja za ostale nespomenute poreze, doprinose, takse i pristojbe","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_15","15","hr_group_1","OSTALA POTRAŽIVANJA OD DRŽAVNIH I DRUGIH INSTITUCIJA","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_150","150","hr_group_15","Potraživanje za nadoknade bolovanja od HZZO","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_151","151","hr_group_15","Potraživanja od mirovinskog osiguranja","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_152","152","hr_group_15","Potraživanja od lokalne samouprave","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_153","153","hr_group_15","Potraživanje za regrese, premije, stimulac. i držav. potpore","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_154","154","hr_group_15","Potraživanje od Fonda za otkupljenu ambalažu","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_155","155","hr_group_15","Ostala potraživanja od državnih institucija","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_156","156","hr_group_15","Potraživanja za više plaćenu naknadu s temelja invaliditeta","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_159","159","hr_group_15","Vrijednosno usklađenje potraživanja od države i drugih institucija","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_19","19","hr_group_1","PLAĆENI TROŠKOVI BUDUĆEG RAZDOBLJA I OBRAČUNANI BUDUĆI PRIHODI","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_190","190","hr_group_19","Unaprijed plaćeni troškovi","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_191","191","hr_group_19","Obračunani prihodi (budućeg razdoblja)","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_192","192","hr_group_19","Unaprijed plaćeni ovisni troškovi nabave (koji nisu na 651)","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
"hr_group_193","193","hr_group_19","Troškovi kamata iz budućeg razdoblja","l10n_hr_coa_rrif_2022.l10n_hr_coa_rrif_2022"
